ID,DATE,TMAX,TMIN,EVAP,PRCP,Latitude,Longitude,Elevation,Region
US1ILCK0036,2015-05-06,,,,,41.886,-87.621,191.1,Chicago
US1FLMD0023,2018-01-18,,,,0.0,25.7349,-80.1636,1.2,MiamiFtLauderdale
US1CASD0140,2016-11-23,,,,0.0,32.7221,-117.1327,67.1,SanDiego
US1MIKN0032,2016-03-03,,,,0.0,42.9919,-85.6944,194.2,GrandRapids
US1MIKN0032,2016-09-21,,,,0.0,42.9919,-85.6944,194.2,GrandRapids
USC00347003,2015-05-05,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
US1KSBU0024,2018-02-01,,,,0.0,37.9856,-97.0347,406.3,Plains
US1NVCK0050,2015-02-01,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1NVCK0050,2015-06-01,,,,0.0,36.1387,-115.1874,655.0,LasVegas
USC00386775,2017-01-10,44.0,-67.0,,0.0,33.7717,-81.2581,137.5,SouthCarolina
USC00366886,2015-12-09,100.0,28.0,,0.0,39.9586,-75.1728,18.3,Philadelphia
USC00291469,2018-04-16,244.0,44.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00237452,2017-09-07,,122.0,,0.0,38.6308,-90.2708,157.0,StLouis
USW00023272,2015-03-26,267.0,122.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
USC00141673,2017-06-06,311.0,183.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USC00097777,2017-08-25,322.0,217.0,,0.0,32.9744,-82.8045,137.5,Southeast
US1GAFT0046,2016-12-18,,,,5.0,33.7447,-84.373,317.0,Atlanta
US1KYKN0001,2017-04-16,,,,48.0,39.0771,-84.5247,164.9,CincinnatiDayton
US1IDAD0009,2015-05-21,,,,58.0,43.6323,-116.2045,827.8,Boise
US1TXHRR165,2017-06-28,,,,,29.7858,-95.3735,14.3,Houston
US1FLDV0028,2015-10-07,,,,0.0,30.3157,-81.5985,4.9,Jacksonville
US1NYKN0025,2015-04-28,,,,0.0,40.6846,-73.9867,5.5,NewYork
US1NYKN0025,2018-02-01,,,,0.0,40.6846,-73.9867,5.5,NewYork
US1MASF0001,2017-03-21,,,,0.0,42.357,-71.0671,13.1,Boston
USC00237452,2018-09-17,,,,0.0,38.6308,-90.2708,157.0,StLouis
US1MIKN0032,2018-10-18,,,,0.0,42.9919,-85.6944,194.2,GrandRapids
USC00347003,2015-06-30,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
US1KSBU0024,2018-05-05,,,,0.0,37.9856,-97.0347,406.3,Plains
US1NVCK0050,2016-06-25,,,,0.0,36.1387,-115.1874,655.0,LasVegas
USC00366886,2018-10-18,189.0,61.0,,0.0,39.9586,-75.1728,18.3,Philadelphia
USC00097777,2015-10-15,256.0,89.0,,0.0,32.9744,-82.8045,137.5,Southeast
USW00023272,2017-07-09,194.0,111.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
USC00356749,2017-06-02,228.0,122.0,,0.0,45.5181,-122.6894,48.5,Portland
USW00023272,2016-11-01,183.0,133.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
USC00237452,2016-05-29,289.0,194.0,,0.0,38.6308,-90.2708,157.0,StLouis
USC00237452,2015-08-13,306.0,194.0,,0.0,38.6308,-90.2708,157.0,StLouis
US1ALMB0076,2018-01-11,,,,5.0,30.6865,-88.0674,9.8,NewOrleansMobile
US1FLMD0023,2018-08-02,,,,8.0,25.7349,-80.1636,1.2,MiamiFtLauderdale
US1KYKN0001,2017-07-11,,,,10.0,39.0771,-84.5247,164.9,CincinnatiDayton
